管理處名稱,工作站,名稱,採樣日期,水溫°C,pH值,EC(μS/cm),備註,版本日期
宜蘭管理處,頭城站,大坑罟抽水機抽水口,2018/1/18,19.2,7.72,384,,201801
宜蘭管理處,頭城站,溪仔底幹線取水口,2018/1/18,18.7,7.45,277,,201801
宜蘭管理處,頭城站,新興湧泉幹線引水口,2018/1/18,17.3,6.97,189,,201801
宜蘭管理處,頭城站,福德坑圳幹線取水口,2018/1/18,17.8,7.05,201,,201801
宜蘭管理處,頭城站,金面圳金面第一幹線取水口,2018/1/18,18,7.14,186,,201801
宜蘭管理處,頭城站,北門坑圳幹線取水口,2018/1/18,17.3,7.6,134,,201801
宜蘭管理處,頭城站,抵美簡圳幹線取水口,2018/1/18,18.5,7.28,304,,201801
宜蘭管理處,頭城站,猴洞坑圳幹線取水口,2018/1/18,17.4,7.34,146,,201801
宜蘭管理處,頭城站,白石腳湧泉第二幹線取水口,2018/1/18,18,7.12,243,,201801
宜蘭管理處,頭城站,白石腳湧泉第一幹線取水口,2018/1/18,18.6,6.91,240,,201801
宜蘭管理處,頭城站,玉泉圳第一幹線取水口,2018/1/18,19,7.38,421,,201801
宜蘭管理處,頭城站,玉泉圳第二幹線取水口,2018/1/18,18.9,7.15,399,,201801
宜蘭管理處,頭城站,湯圍湧泉幹線取水口,2018/1/18,19.6,7.16,341,,201801
宜蘭管理處,頭城站,六結圳幹線礁溪六結一主給取水口,2018/1/18,18.1,6.98,244,,201801
宜蘭管理處,頭城站,淇武蘭圳幹線取水口,2018/1/18,18.5,7.02,270,,201801
宜蘭管理處,頭城站,五股圳幹線礁溪1-17小給取水口,2018/1/18,18.3,7.35,193,,201801
宜蘭管理處,頭城站,玉泉圳第二幹線礁溪白雲二主給取水口,2018/1/18,18.9,7.13,402,,201801
宜蘭管理處,頭城站,湯圍湧泉幹線三支線取水口,2018/1/18,19.4,7.23,488,,201801
宜蘭管理處,頭城站,湯圍湧泉幹線四支線湯圍1-2小給取水口,2018/1/18,18.7,6.78,264,,201801
宜蘭管理處,頭城站,金面圳金面第二幹線二主給2小給取水口,2018/1/18,18.5,7.06,273,,201801
宜蘭管理處,頭城站,金面第四湧泉圳取水口,2018/1/18,17.4,7.31,206,,201801
宜蘭管理處,礁溪站,辛永安圳取水口,2018/1/17,20.4,7.22,187,,201801
宜蘭管理處,礁溪站,黃德記圳取水口,2018/1/17,18.8,7.2,210,,201801
宜蘭管理處,礁溪站,林源春圳取水口,2018/1/17,20.6,7.19,210,,201801
宜蘭管理處,礁溪站,茅埔圳取水口,2018/1/17,20.6,7.47,203,,201801
宜蘭管理處,礁溪站,大坡圳(龍潭湖)取水口,2018/1/17,19.7,7.35,132,,201801
宜蘭管理處,礁溪站,四結佃圳上游,2018/1/17,21.1,6.97,211,,201801
